CompanyID,CompanyName,Industry,Region,Year,Revenue,ProfitMargin,MarketCap,GrowthRate,ESG_Overall,ESG_Environmental,ESG_Social,ESG_Governance,CarbonEmissions,WaterUsage,EnergyConsumption
2,Company_2,Retail,Asia,2019,3125.6,1.2,566.4,6.3,61.1,63.1,52.5,67.8,237019.5,118509.7,474039.0
2,Company_2,Retail,Asia,2020,2999.8,-0.3,1997.8,-4.0,63.3,64.2,57.9,67.9,225128.2,112564.1,450256.4
2,Company_2,Retail,Asia,2021,3167.9,-0.4,15634.9,5.6,63.0,62.9,60.0,66.1,240710.6,120355.3,481421.2
2,Company_2,Retail,Asia,2022,3106.4,0.8,514.3,-1.9,64.0,66.7,57.7,67.8,227761.4,113880.7,455522.7
2,Company_2,Retail,Asia,2023,3691.6,-0.7,2523.2,18.8,66.0,66.6,61.6,70.0,271015.1,135507.6,542030.3
2,Company_2,Retail,Asia,2024,3822.9,-1.2,5807.8,3.6,65.7,65.4,63.0,68.7,283660.0,141830.0,567320.0
2,Company_2,Retail,Asia,2025,4371.5,-2.4,20376.3,14.4,66.3,65.8,62.8,70.3,323282.0,161641.0,646564.1
8,Company_8,Healthcare,Europe,2015,7090.7,10.6,14828.8,,74.4,69.4,87.8,66.1,506391.0,506391.0,1012782.0
8,Company_8,Healthcare,Europe,2016,7395.2,10.4,17692.4,4.3,75.5,69.3,89.8,67.6,528938.5,528938.5,1057876.9
8,Company_8,Healthcare,Europe,2017,7077.8,10.7,14011.4,-4.3,76.8,71.8,92.2,66.6,493832.6,493832.6,987665.3
8,Company_8,Healthcare,Europe,2018,6957.5,8.2,9292.2,-1.7,76.6,69.5,92.8,67.6,496422.5,496422.5,992845.0
8,Company_8,Healthcare,Europe,2019,6690.8,9.7,8033.5,-3.8,77.0,67.2,98.8,64.9,488275.3,488275.3,976550.7
8,Company_8,Healthcare,Europe,2020,6751.9,8.7,7083.4,0.9,78.5,70.2,98.2,67.0,478492.5,478492.5,956984.9
8,Company_8,Healthcare,Europe,2021,6397.5,10.1,10983.2,-5.2,78.2,74.1,95.1,65.5,435991.0,435991.0,871982.0
8,Company_8,Healthcare,Europe,2022,6583.8,10.3,8606.9,2.9,79.6,75.2,95.3,68.3,443275.8,443275.8,886551.6
8,Company_8,Healthcare,Europe,2023,6810.4,11.1,9866.0,3.4,79.6,75.4,95.2,68.2,457696.4,457696.4,915392.8
8,Company_8,Healthcare,Europe,2024,7168.5,13.7,17539.0,5.3,81.4,78.2,95.0,71.1,468000.4,468000.4,936000.8
8,Company_8,Healthcare,Europe,2025,7117.1,8.6,10386.3,-0.7,81.6,77.1,97.6,69.9,469707.3,469707.3,939414.6
1,Company_1,Retail,Latin America,2015,459.2,6.0,337.5,,57.0,60.7,33.5,76.8,35577.4,17788.7,71154.7
1,Company_1,Retail,Latin America,2016,473.8,4.6,366.6,3.2,56.7,58.9,32.8,78.5,37314.7,18657.4,74629.4
1,Company_1,Retail,Latin America,2017,564.9,5.2,313.4,19.2,56.5,57.6,34.0,77.8,45006.4,22503.2,90012.9
1,Company_1,Retail,Latin America,2018,558.4,4.3,283.0,-1.1,58.0,62.3,33.4,78.3,42650.1,21325.1,85300.2
1,Company_1,Retail,Latin America,2019,554.5,4.9,538.1,-0.7,56.6,63.7,30.0,76.1,41799.4,20899.7,83598.8
1,Company_1,Retail,Latin America,2020,567.5,6.0,384.1,2.3,55.7,65.1,28.5,73.5,42245.4,21122.7,84490.9
1,Company_1,Retail,Latin America,2021,604.2,5.2,479.3,6.5,55.6,66.8,25.5,74.6,44263.8,22131.9,88527.7
1,Company_1,Retail,Latin America,2022,593.2,4.2,248.4,-1.8,57.7,69.0,27.1,76.9,42536.3,21268.2,85072.6
1,Company_1,Retail,Latin America,2023,636.7,5.3,373.9,7.3,57.8,68.3,27.0,78.1,45956.3,22978.2,91912.6
1,Company_1,Retail,Latin America,2024,687.0,4.6,460.1,7.9,58.5,68.9,29.9,76.8,49289.1,24644.5,98578.1
1,Company_1,Retail,Latin America,2025,734.5,5.0,628.8,6.9,59.2,70.7,29.1,78.0,51805.8,25902.9,103611.7
5,Company_5,Finance,Middle East,2015,2720.9,16.1,3884.5,,43.5,71.9,19.1,39.4,37894.7,18947.3,94736.7
5,Company_5,Finance,Middle East,2016,2647.4,17.6,9275.6,-2.7,42.5,74.2,16.0,37.4,36048.3,18024.2,90120.8
5,Company_5,Finance,Middle East,2017,2553.4,19.9,9760.9,-3.6,44.3,74.7,18.7,39.6,34565.5,17282.7,86413.7
5,Company_5,Finance,Middle East,2018,2758.9,22.6,7367.6,8.1,45.4,75.8,18.7,41.8,36945.9,18472.9,92364.7
5,Company_5,Finance,Middle East,2019,2746.9,21.3,11365.5,-0.4,46.0,77.0,20.4,40.7,36325.1,18162.6,90812.9
5,Company_5,Finance,Middle East,2020,3243.0,19.3,10066.1,18.1,46.8,75.5,22.5,42.5,43534.1,21767.0,108835.2
5,Company_5,Finance,Middle East,2021,3120.1,19.3,8787.3,-3.8,47.5,78.5,22.7,41.3,40596.3,20298.2,101490.8
5,Company_5,Finance,Middle East,2022,3094.2,20.1,9600.4,-0.8,47.6,78.4,22.3,42.3,40314.0,20157.0,100785.1
5,Company_5,Finance,Middle East,2023,3281.7,21.9,6441.8,6.1,45.9,76.5,20.0,41.3,43628.2,21814.1,109070.6
5,Company_5,Finance,Middle East,2024,3282.1,22.5,9663.0,0.0,47.4,80.4,19.9,41.8,41818.8,20909.4,104546.9
5,Company_5,Finance,Middle East,2025,3162.1,22.4,6674.6,-3.7,48.0,82.1,18.7,43.3,39561.3,19780.6,98903.2
9,Company_9,Technology,North America,2015,1490.2,11.9,4559.0,,59.8,37.8,77.7,63.7,69681.3,41808.8,139362.7
9,Company_9,Technology,North America,2016,1761.8,9.7,4234.3,18.2,58.8,38.0,78.7,59.7,82263.8,49358.3,164527.5
9,Company_9,Technology,North America,2017,2085.0,15.3,7991.2,18.3,60.2,37.2,77.2,66.2,97986.2,58791.7,195972.4
9,Company_9,Technology,North America,2018,2575.4,14.1,5543.0,23.5,63.5,40.8,81.7,68.1,117733.8,70640.3,235467.6
9,Company_9,Technology,North America,2019,3208.8,11.2,8416.4,24.6,63.3,40.5,83.8,65.6,147097.1,88258.2,294194.1
9,Company_9,Technology,North America,2020,3584.9,10.1,10662.5,11.7,63.1,39.7,84.7,64.9,165277.3,99166.4,330554.5
9,Company_9,Technology,North America,2021,4399.8,8.5,7008.7,22.7,63.8,39.7,84.3,67.3,202835.4,121701.3,405670.9
9,Company_9,Technology,North America,2022,4673.0,6.7,8480.9,6.2,65.3,43.5,83.4,69.0,209222.4,125533.4,418444.8
9,Company_9,Technology,North America,2023,5102.1,4.4,5222.0,9.2,63.3,45.0,80.8,64.0,225770.9,135462.6,451541.9
9,Company_9,Technology,North America,2024,5853.9,6.3,5804.7,14.7,63.2,45.6,81.9,62.1,257772.5,154663.5,515545.0
9,Company_9,Technology,North America,2025,6764.0,4.5,5954.9,15.5,63.5,48.4,82.6,59.6,291193.2,174715.9,582386.4
6,Company_6,Transportation,Oceania,2015,2339.1,0.8,256.7,,69.1,56.9,76.8,73.7,1125550.2,187591.7,3751834.0
6,Company_6,Transportation,Oceania,2016,2574.5,-1.0,11890.9,10.1,68.4,56.1,76.9,72.2,1246956.8,207826.1,4156522.6
6,Company_6,Transportation,Oceania,2017,2508.9,-4.0,3844.3,-2.6,68.7,60.3,75.8,70.0,1171117.0,195186.2,3903723.3
6,Company_6,Transportation,Oceania,2018,2472.4,-8.2,1595.7,-1.5,66.9,60.0,73.1,67.5,1157116.5,192852.8,3857055.1
6,Company_6,Transportation,Oceania,2019,2598.8,-8.5,8095.7,5.1,68.7,62.3,73.8,70.1,1191171.2,198528.5,3970570.6
6,Company_6,Transportation,Oceania,2020,2563.3,-11.4,10251.2,-1.4,70.5,64.0,74.3,73.3,1156823.6,192803.9,3856078.8
6,Company_6,Transportation,Oceania,2021,2466.6,-8.5,7550.0,-3.8,70.8,64.2,75.3,72.9,1110593.7,185099.0,3701979.0
6,Company_6,Transportation,Oceania,2022,2747.5,-7.9,12663.9,11.4,72.5,68.4,77.0,72.1,1188684.3,198114.0,3962281.0
6,Company_6,Transportation,Oceania,2023,3009.5,-9.8,4910.0,9.5,71.7,68.1,75.7,71.2,1305812.3,217635.4,4352707.7
6,Company_6,Transportation,Oceania,2024,3095.6,-8.6,2201.1,2.9,69.5,62.2,75.7,70.7,1420617.4,236769.6,4735391.3
6,Company_6,Transportation,Oceania,2025,3297.0,-10.0,7887.8,6.5,73.1,68.2,77.4,73.6,1428863.2,238143.9,4762877.2
